track,model,gran,TSS_mean,TSS_ci,HSS_mean,HSS_ci,CSI_mean,CSI_ci,MCC_mean,MCC_ci,SEDI_mean,SEDI_ci,precision_mean,precision_ci,FB_mean,FB_ci,n_folds
XRS M-class (multi),itransformer,per-day,0.016,0.027,0.025,0.04,0.016,0.027,0.129,0.104,0.193,,0.889,0.308,0.018,0.027,5.0
XRS M-class (multi),itransformer,per-point,0.049,0.109,0.064,0.133,0.037,0.079,0.077,0.131,0.293,0.179,0.178,0.127,0.179,0.313,5.0
XRS M-class (multi),itransformer,per-window,0.024,0.023,0.037,0.034,0.024,0.023,0.127,0.063,0.361,0.114,0.946,0.059,0.025,0.024,5.0
XRS M-class (multi),naive (persistence),per-day,0.047,0.031,0.074,0.046,0.048,0.031,0.179,0.073,0.33,0.105,0.91,0.155,0.053,0.032,5.0
XRS M-class (multi),naive (persistence),per-point,0.096,0.081,0.095,0.078,0.055,0.047,0.095,0.078,0.357,0.101,0.103,0.08,0.999,0.11,5.0
XRS M-class (multi),naive (persistence),per-window,0.046,0.023,0.072,0.031,0.047,0.023,0.187,0.043,0.434,0.056,0.956,0.025,0.048,0.023,5.0
XRS M-class (multi),patchmixer,per-day,0.047,0.035,0.074,0.052,0.048,0.036,0.184,0.077,0.386,,0.975,0.069,0.05,0.039,5.0
XRS M-class (multi),patchmixer,per-point,0.052,0.089,0.079,0.116,0.045,0.069,0.125,0.096,0.409,0.089,0.467,0.181,0.136,0.239,5.0
XRS M-class (multi),patchmixer,per-window,0.042,0.023,0.066,0.031,0.042,0.023,0.178,0.044,0.43,0.045,0.96,0.03,0.044,0.024,5.0
XRS M-class (multi),patchtst,per-day,0.022,0.028,0.034,0.042,0.022,0.028,0.17,0.047,,,1.0,0.0,0.022,0.028,5.0
XRS M-class (multi),patchtst,per-point,0.046,0.095,0.065,0.127,0.038,0.075,0.1,0.151,0.343,0.182,0.286,0.154,0.15,0.267,5.0
XRS M-class (multi),patchtst,per-window,0.021,0.027,0.032,0.04,0.022,0.028,0.129,0.08,0.367,0.104,0.931,0.078,0.023,0.029,5.0
XRS M-class (multi),rlinear,per-day,0.049,0.044,0.075,0.065,0.049,0.045,0.183,0.096,0.43,,0.982,0.051,0.051,0.049,5.0
XRS M-class (multi),rlinear,per-point,0.059,0.089,0.085,0.114,0.049,0.068,0.111,0.104,0.377,0.112,0.285,0.162,0.229,0.243,5.0
XRS M-class (multi),rlinear,per-window,0.042,0.027,0.065,0.038,0.042,0.027,0.175,0.052,0.431,0.058,0.961,0.029,0.044,0.028,5.0
XRS M-class (multi),segrnn,per-day,0.028,0.036,0.044,0.054,0.028,0.036,0.159,0.089,,,1.0,0.0,0.028,0.036,5.0
XRS M-class (multi),segrnn,per-point,0.03,0.042,0.051,0.068,0.028,0.038,0.103,0.071,0.383,0.051,0.522,0.141,0.068,0.105,5.0
XRS M-class (multi),segrnn,per-window,0.028,0.027,0.044,0.04,0.029,0.028,0.142,0.069,0.482,0.032,0.994,0.005,0.029,0.028,5.0
XRS M-class (multi),tide,per-day,0.048,0.045,0.074,0.066,0.049,0.045,0.169,0.108,0.312,0.217,0.84,0.257,0.057,0.046,5.0
XRS M-class (multi),tide,per-point,0.061,0.09,0.088,0.114,0.05,0.069,0.114,0.105,0.382,0.112,0.286,0.158,0.238,0.25,5.0
XRS M-class (multi),tide,per-window,0.046,0.028,0.071,0.04,0.046,0.029,0.184,0.053,0.435,0.057,0.96,0.023,0.048,0.03,5.0
XRS M-class (multi),tsmixer,per-day,0.024,0.058,0.032,0.076,0.03,0.072,0.119,0.14,0.215,0.094,0.484,0.043,0.073,0.181,5.0
XRS M-class (multi),tsmixer,per-point,0.033,0.089,0.015,0.037,0.011,0.026,0.046,0.11,0.208,0.326,0.036,0.058,0.86,2.094,5.0
XRS M-class (multi),tsmixer,per-window,0.022,0.057,0.03,0.076,0.028,0.071,0.111,0.167,0.206,0.128,0.486,0.008,0.066,0.17,5.0
XRS M-class (multi),xpatch,per-day,0.029,0.037,0.043,0.055,0.029,0.037,0.148,0.112,0.181,,0.875,0.347,0.032,0.036,5.0
XRS M-class (multi),xpatch,per-point,0.042,0.081,0.063,0.112,0.036,0.066,0.1,0.106,0.371,0.106,0.439,0.223,0.109,0.213,5.0
XRS M-class (multi),xpatch,per-window,0.03,0.032,0.046,0.047,0.031,0.032,0.132,0.085,0.349,0.138,0.882,0.204,0.035,0.033,5.0
XRS X-class,dlinear,per-day,0.022,0.039,0.042,0.073,0.022,0.039,0.233,0.064,,,1.0,0.0,0.022,0.039,5.0
XRS X-class,dlinear,per-point,0.004,0.003,0.008,0.004,0.004,0.002,0.026,0.014,0.367,0.054,0.248,0.324,0.054,0.105,5.0
XRS X-class,dlinear,per-window,0.013,0.008,0.025,0.016,0.013,0.008,0.097,0.032,0.371,0.067,0.759,0.097,0.017,0.011,5.0
XRS X-class,frets,per-day,-0.0,0.001,-0.0,0.001,0.0,0.0,-0.003,,,,0.0,,0.025,0.069,5.0
XRS X-class,frets,per-point,0.002,0.005,0.002,0.006,0.001,0.003,0.005,0.014,0.316,,0.006,0.017,0.146,0.403,5.0
XRS X-class,frets,per-window,0.006,0.018,0.012,0.032,0.006,0.017,0.049,0.139,0.36,,0.156,0.433,0.021,0.059,5.0
XRS X-class,itransformer,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS X-class,itransformer,per-point,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.008,0.294,0.086,0.607,0.297,0.0,0.0,5.0
XRS X-class,itransformer,per-window,0.0,0.001,0.0,0.001,0.0,0.001,0.019,0.026,0.192,,0.75,0.694,0.0,0.001,5.0
XRS X-class,naive (persistence),per-day,0.032,0.038,0.06,0.07,0.032,0.038,0.229,0.038,,,1.0,0.0,0.032,0.038,5.0
XRS X-class,naive (persistence),per-point,0.017,0.006,0.017,0.007,0.009,0.004,0.017,0.007,0.326,0.029,0.018,0.007,0.986,0.205,5.0
XRS X-class,naive (persistence),per-window,0.016,0.006,0.03,0.012,0.016,0.006,0.113,0.025,0.407,0.034,0.846,0.04,0.018,0.007,5.0
XRS X-class,patchmixer,per-day,0.013,0.037,0.025,0.068,0.013,0.037,0.256,,,,1.0,,0.013,0.037,5.0
XRS X-class,patchmixer,per-point,0.002,0.003,0.003,0.005,0.002,0.003,0.026,0.036,0.378,0.206,0.535,0.605,0.013,0.019,5.0
XRS X-class,patchmixer,per-window,0.007,0.011,0.014,0.021,0.007,0.011,0.058,0.072,0.371,0.169,0.628,0.548,0.011,0.011,5.0
