track,seq_len,pred_len,fold,strategy,model,best_val_loss,skipped,est_train_hours,rmse,mae,tss_p_gt10,hss_p_gt10,pod_p_gt10,far_p_gt10,tss_xrs_long,hss_xrs_long,pod_xrs_long,far_xrs_long
uni_a,2016,144,0,direct,dlinear,0.5841454863548279,False,,1.252506971359253,0.5950103402137756,0.5063001524383138,0.1816669626818862,0.5738527265745008,0.8761754160027483,,,,
uni_a,2016,144,0,direct,itransformer,0.0516470149159431,False,,0.2415974289178848,0.1186425015330314,0.4393664658649318,0.5535340184916794,0.441676267281106,0.239167585446527,,,,
uni_a,2016,144,0,direct,tide,0.1858538538217544,False,,0.6192329525947571,0.2718383073806762,0.3554207137680386,0.2911762635734566,0.3733118919610855,0.7423197353670457,,,,
uni_a,2016,144,0,direct,rlinear,0.3267067074775696,False,,1.1256173849105835,0.4679197371006012,0.3330459865291465,0.1602853570822836,0.3798323092677931,0.8810098473399149,,,,
uni_a,2016,144,0,direct,patchtst,0.1172045618295669,False,,0.320334255695343,0.1456172466278076,0.3121941421500616,0.4366357549585054,0.3139640937019969,0.2530975809367922,,,,
uni_a,2016,144,0,direct,patchmixer,0.1410006880760193,False,,0.37861368060112,0.2038401663303375,0.3076349284245902,0.3453268551932714,0.3153321812596006,0.5946938145920099,,,,
uni_a,2016,144,0,direct,tsmixer,0.1182816624641418,False,,0.2670828402042389,0.1507978588342666,0.2755546671038695,0.4254891355070447,0.275681643625192,0.0269400203320908,,,,
uni_a,2016,144,0,direct,frets,0.295526921749115,False,,1.0049309730529783,0.3728443384170532,0.2448403041062476,0.2918166822743422,0.2518401177675371,0.6255694726950481,,,,
uni_a,2016,144,0,direct,xpatch,inf,False,,,,0.0,0.0,0.0,0.0,,,,
uni_b,2016,144,0,direct,dlinear,0.8285350799560547,False,,0.9153472781181335,0.6584502458572388,,,,,0.0763012478497392,0.0176259063803675,0.1613096665867114,0.9791412933121868
uni_b,2016,144,0,direct,patchmixer,0.0961019173264503,False,,0.9440417289733888,0.2719787061214447,,,,,0.0582614831995134,0.0855281929532462,0.0615575277844407,0.8266732704473311
